   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
   1602    1940    1940    1940 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-a11y-settings
   1602    1941    1941    1941 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-color
   1602    1942    1942    1942 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-datetime
   1602    1945    1945    1945 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-housekeeping
   1602    1946    1946    1946 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-keyboard
   1602    1949    1949    1949 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-media-keys
   1602    1952    1952    1952 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-power
   1602    1955    1955    1955 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-print-notifications
   1602    1959    1959    1959 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-rfkill
   1602    1962    1962    1962 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-screensaver-proxy
   1602    1965    1965    1965 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-sharing
   1602    1967    1967    1967 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-smartcard
   1602    1969    1969    1969 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-sound
   1602    1971    1971    1971 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-wacom
   1772    2007    1772    1772 ?             -1 Sl    1000   0:00 /usr/libexec/gsd-disk-utility-notify
   1772    2008    1772    1772 ?             -1 Sl    1000   0:13 /home/liupeng/下载/Clash for Windows-0.20.19-x64-linux/cfw --enable-crashpad
   1772    2011    1772    1772 ?             -1 Sl    1000   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1602    2021    2020    2020 ?             -1 Sl    1000   0:09 fcitx
   1790    2077    1790    1790 ?             -1 Sl    1000   3:03 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.CQ0G21 -listen 4 -listen 5 -displayfd 6 -initfd 7
   1602    2087    1772    1772 ?             -1 Sl    1000   0:03 /snap/snap-store/638/usr/bin/snap-store --gapplication-service
   2008    2123    1772    1772 ?             -1 S     1000   0:00 /home/liupeng/下载/Clash for Windows-0.20.19-x64-linux/cfw --type=zygote --no-zygote-sandbox --enable-crashpad --enable-crashpad
